English (Chat-GPT v1),English (Chat-GPT v2),English,Turkish,Swedish,Farsi,Hindi
,,What made the trip smoother was traveling early.,Yolculuğu pürüzsüzleştiren şey erken yola çıkmaktı.,Det som gjorde resan smidigare var att resa tidigt.,,
,,Rarely do instructions work perfectly the first time.,Talimatlar ilk seferde nadiren kusursuz işler.,Sällan fungerar instruktioner perfekt första gången.,,
,,The café stayed quiet until the lunch crowd arrived.,"Kafe, öğle yemeği kalabalığı gelene kadar sessiz kaldı.",Kaféet förblev tyst tills lunchrusningen kom.,,
,,It was the last train that everyone was waiting for.,Herkesin beklediği son trendi.,Det var det sista tåget som alla väntade på.,,
,,Only when the file opened did the error appear.,Ancak dosya açıldığında hata belirdi.,Först när filen öppnades dök felet upp.,,
,,The task went faster after the roles were split.,Görevler bölündükten sonra işler daha hızlı gitti.,Uppgiften gick snabbare efter att rollerna delades upp.,,
,,What delayed the order was a stock issue.,Siparişi geciktiren şey bir stok sorunuydu.,Det som fördröjde beställningen var ett lagerproblem.,,
,,Not until the payment failed did the limit matter.,Ödeme başarısız olana kadar limit önemli değildi.,Inte förrän betalningen misslyckades spelade gränsen roll.,,
,,The solution turned out to be simpler than expected.,Çözüm beklenenden daha basit çıktı.,Lösningen visade sig vara enklare än förväntat.,,
,,The quiet advice from my grandfather stayed with me.,Büyükbabamdan aldığım sessiz öğüt içimde kaldı.,De tysta råden från min farfar stannade hos mig.,,
,,What really helped was taking a break before deciding.,"Karar vermeden önce mola vermek, gerçekten yardımcı oldu.",Det som verkligen hjälpte var att ta en paus innan man bestämde sig.,,
,,The meal worked because the ingredients were very simple.,Yemek işe yaradı çünkü malzemeler çok basitti.,Måltiden fungerade därför att ingredienserna var mycket enkla.,,
,,"Should you ever move cities, you might understand hard goodbyes.","Şehir değiştirecek olursanız, zor vedaları anlayabilirsiniz.","Skulle du någonsin flytta till en annan stad, skulle du kanske förstå svåra farväl.",,
,,The way people listen often matters more than words.,"İnsanların dinleme şekli, çoğu zaman sözlerden daha önemlidir.",Sättet människor lyssnar på är ofta viktigare än ord.,,
,,What surprised me most was how quickly everyone adapted.,"Beni en çok şaşırtan, herkesin ne kadar çabuk adapte olduğuydu.",Det som överraskade mig mest var hur snabbt alla anpassade sig.,,
,,Not until the storm passed did we see the damage.,Ancak fırtına geçtikten sonra hasarı gördük.,Först när stormen hade passerat såg vi skadorna.,,
,,The thing to remember is that trust grows slowly.,"Unutulmaması gereken şey, güvenin yavaş yavaş büyüdüğüdür.",Det man ska komma ihåg är att förtroende växer långsamt.,,
,,"Were I in your position, I would wait before replying.","Senin yerinde olsaydım, cevap vermeden önce beklerdim.","Om jag vore i din position, skulle jag vänta innan jag svarade.",,
,,It was staying home that saved us from the storm.,Bizi fırtınadan kurtaran evde kalmamızdı.,Det var att stanna hemma som räddade oss från stormen.,,
,,What makes this place special is how familiar it feels.,"Burayı özel kılan şey, ne kadar tanıdık geldiğidir.",Det som gör den här platsen speciell är hur bekant den känns.,,
,,The reason for the tension was simply lack of sleep.,Gerginliğin nedeni sadece uykusuzluktu.,Anledningen till spänningen var helt enkelt sömnbrist.,,
,,It is the small habits that shape our days.,Günlerimizi şekillendiren küçük alışkanlıklardır.,Det är de små vanorna som formar våra dagar.,,
,,What we should avoid is promising more than we deliver.,"Kaçınmamız gereken şey, verdiğimizden daha fazlasını vaat etmektir.",Det vi bör undvika är att lova mer än vi levererar.,,
,,Only after losing the receipt did the refund become difficult.,Ancak makbuzu kaybettikten sonra geri ödeme zorlaştı.,Först efter att ha tappat bort kvittot blev återbetalningen svår.,,
,,It was a stranger’s kindness that changed my mood.,Modumu değiştiren bir yabancının iyiliğiydi.,Det var en främlings vänlighet som förändrade mitt humör.,,
,,"If I were in your shoes, I would double-check first.","Senin yerinde olsam, önce iki kez kontrol ederdim.","Om jag vore i dina kläder, skulle jag dubbelkolla först.",,
,,What I enjoy most is how the city changes.,"En çok keyif aldığım şey, şehrin nasıl değiştiğidir.",Det jag uppskattar mest är hur staden förändras.,,
,,"It is consistency, not bursts of effort, that brings success.","Başarıyı getiren, anlık çabalar değil, tutarlılıktır.","Det är konsekvens, inte korta, intensiva insatser, som ger framgång.",,
,,The reason the plan failed was that we rushed.,Planın başarısız olmasının nedeni acele etmemizdi.,Anledningen till att planen misslyckades var att vi skyndade oss.,,
,,"Should you feel unsure, taking a step back can help.","Emin değilseniz, geri adım atmak yardımcı olabilir.",Om du känner dig osäker kan det hjälpa att ta ett steg tillbaka.,,
,,What stayed with me was how calmly she handled it.,"Aklımda kalan, bunu ne kadar sakin bir şekilde ele aldığıydı.",Vad som stannade kvar hos mig var hur lugnt hon hanterade det.,,
,,The decision to leave early made the trip easier.,Erken ayrılma kararı yolculuğu kolaylaştırdı.,Beslutet att åka tidigt gjorde resan enklare.,,
,,The thing that made the difference was asking for help.,Fark yaratan şey yardım istemekti.,Det som gjorde skillnaden var att be om hjälp.,,
,,"Were I you, I would keep my options open.","Senin yerinde olsaydım, seçeneklerimi açık tutardım.","Om jag vore du, skulle jag hålla mina alternativ öppna.",,
,,What matters here is timing more than speed.,Burada önemli olan hızdan çok zamanlamadır.,Det viktiga här är tajming mer än snabbhet.,,
,,It is the way problems are handled that people remember.,"İnsanların hatırladığı, sorunların ele alınış şeklidir.",Det är sättet problem hanteras på som folk minns.,,
,,Only through trial and error did the solution become clear.,Ancak deneme yanılma yoluyla çözüm netleşti.,Endast genom försök och misstag blev lösningen tydlig.,,
,,The reason they succeeded was that they listened well.,"Başarılı olmalarının nedeni, iyi dinlemeleriydi.",Anledningen till att de lyckades var att de lyssnade väl.,,
,,"If this were my call, I would choose simpler.","Seçim bana kalsaydı, daha basiti seçerdim.","Om detta vore mitt beslut, skulle jag välja enklare.",,
,,What I find encouraging is how people support each other.,"Beni cesaretlendiren şey, insanların birbirini nasıl desteklediği.",Det jag finner uppmuntrande är hur människor stöttar varandra.,,
,,It was a change in routine that reduced stress.,Stresi azaltan bir rutin değişikliğiydi.,Det var en förändring i rutinen som minskade stress.,,
,,The thing we cannot afford to lose is perspective.,Kaybedemeyeceğimiz şey bakış açımızdır.,Det vi inte har råd att förlora är perspektivet.,,
,,"Should you hesitate, that is a sign to slow down.","Tereddüt ederseniz, bu yavaşlamanız gerektiğinin bir işaretidir.","Skulle du tveka, är det ett tecken att sakta ner.",,
,,What made the journey smoother was planning less.,Yolculuğu daha sorunsuz kılan şey daha az plan yapmaktı.,Det som gjorde resan smidigare var att planera mindre.,,
,,It is the unexpected moments that tend to stick.,Akılda kalanlar genellikle beklenmedik anlardır.,Det är de oväntade ögonblicken som brukar fastna.,,
,,The reason I am cautious is past experience.,Tedbirli olmamın nedeni geçmiş tecrübelerdir.,Anledningen till att jag är försiktig är tidigare erfarenheter.,,
,,"Were circumstances different, the choice would be easier.","Koşullar farklı olsaydı, seçim daha kolay olurdu.","Om omständigheterna vore annorlunda, skulle valet vara lättare.",,
,,What helped most was writing things down.,"En çok yardımcı olan, not almaktı.",Det som hjälpte mest var att skriva ner saker.,,
,,It was patience that prevented a bigger mistake.,Daha büyük bir hatayı engelleyen sabırdı.,Det var tålamod som förhindrade ett större misstag.,,
,,The thing to focus on now is the next step.,"Şimdi odaklanılması gereken, bir sonraki adımdır.",Det viktigaste att fokusera på nu är nästa steg.,,
,,Many people claim the new law will reduce crime.,Birçok kişi yeni yasanın suç oranını azaltacağını iddia ediyor.,Många hävdar att den nya lagen kommer att minska brottsligheten.,,
,,The CEO is rumored to step down after the scandal.,CEO'nun skandalın ardından istifa edeceği söyleniyor.,VD:n ryktas avgå efter skandalen.,,
,,Thousands are expected to show up at the protest.,Binlerce kişinin protestoya katılması bekleniyor.,Tusentals förväntas dyka upp vid protesten.,,
,,The project was once seen as a waste of money.,Proje bir zamanlar para israfı olarak görülüyordu.,Projektet sågs en gång som ett slöseri med pengar.,,
,,Experts estimate global temperatures will rise by two degrees.,"Uzmanlar, küresel sıcaklıkların iki derece artacağını tahmin ediyor.",Experter uppskattar att globala temperaturer kommer att stiga med två grader.,,
,,The treaty reportedly includes several secret trade clauses.,"Anlaşma, bildirildiğine göre birkaç gizli ticaret maddesi içeriyor.",Fördraget uppges innehålla flera hemliga handelsklausuler.,,
,,The company allegedly ignored safety warnings for years.,Şirket iddialara göre yıllarca güvenlik uyarılarını görmezden geldi.,Företaget uppges ha ignorerat säkerhetsvarningar i flera år.,,
,,The billionaire is believed to have donated his fortune.,Milyarderin servetini bağışladığına inanılıyor.,Miljardären tros ha donerat sin förmögenhet.,,
,,Some argue that social media harms our mental health.,"Bazıları, sosyal medyanın ruh sağlığımıza zarar verdiğini iddia ediyor.",Vissa menar att sociala medier skadar vår mentala hälsa.,,
,,The ancient ruins are said to hide many secrets.,Antik harabelerin birçok sır sakladığı söyleniyor.,De forntida ruinerna sägs gömma många hemligheter.,,
,,It has been suggested that the meeting be postponed.,Toplantının ertelenmesi önerilmiştir.,Det har föreslagits att mötet skjuts upp.,,
,,The election looks set to be extremely close.,Seçimin son derece başa baş geçeceği anlaşılıyor.,Valet ser ut att bli extremt jämnt.,,
,,There are fears that the drought could cause food shortages.,Kuraklığın gıda kıtlığına neden olabileceğine dair endişeler var.,Det finns farhågor att torkan skulle kunna orsaka livsmedelsbrist.,,
,,The athlete reportedly broke the world record during training.,Sporcunun antrenman sırasında dünya rekorunu kırdığı bildirildi.,Idrottaren uppges ha slagit världsrekordet under träning.,,
,,Most analysts assume interest rates will remain high next month.,"Çoğu analist, faiz oranlarının gelecek ay yüksek kalacağını varsayıyor.",De flesta analytiker antar att räntorna kommer att förbli höga nästa månad.,,
,,The bridge is thought to be unsafe due to poor maintenance.,"Köprü'nün, bakımsızlık nedeniyle güvensiz olduğu düşünülüyor.",Bron anses vara osäker på grund av bristande underhåll.,,
,,"These countries have a long, widely known history of conflict.",Bu ülkelerin uzun ve yaygın olarak bilinen bir çatışma geçmişi var.,"Dessa länder har en lång, välkänd konflikthistoria.",,
,,The actor is said to be taking a controversial role.,Aktörün tartışmalı bir rol üstlendiği söyleniyor.,Skådespelaren sägs ta en kontroversiell roll.,,
,,Researchers claim the vaccine offers long-term protection.,"Araştırmacılar, aşının uzun süreli koruma sağladığını iddia ediyor.",Forskare hävdar att vaccinet erbjuder långvarigt skydd.,,
,,The missing ship is believed to have sunk during the storm.,Kayıp geminin fırtına sırasında battığına inanılıyor.,Det saknade fartyget tros ha sjunkit under stormen.,,
,,Reports say the two companies are planning a secret merger.,Raporlara göre iki şirket gizli bir birleşme planlıyor.,Rapporter säger att de två företagen planerar en hemlig fusion.,,
,,Witnesses say the protest remained peaceful until police arrived.,"Tanıklar, polis gelene kadar protestonun barışçıl kaldığını söylüyor.",Vittnen uppger att protesten förblev fredlig tills polisen anlände.,,
